Airline,Source,Destination,Total_Stops,Price,Journey_day,Journey_month,Dep_hour,Dep_min,Arrival_hour,Arrival_min,Duration_hours,Duration_mins
Multiple carriers,Delhi,Cochin,1.0,7695,21,3,10,20,1,35,15,15
Jet Airways,Delhi,Cochin,1.0,5406,6,4,7,5,12,35,5,30
IndiGo,Banglore,Delhi,0.0,4823,24,4,16,55,19,55,3,0
Vistara,Kolkata,Banglore,1.0,9555,9,6,7,10,20,20,13,10
IndiGo,Kolkata,Banglore,0.0,5644,15,6,9,35,12,10,2,35
SpiceJet,Mumbai,Hyderabad,0.0,2175,15,5,13,15,14,45,1,30
IndiGo,Banglore,Delhi,0.0,3943,3,6,21,15,0,15,3,0
IndiGo,Delhi,Cochin,1.0,7191,15,5,15,0,1,30,10,30
Vistara,Mumbai,Hyderabad,1.0,12395,6,3,15,40,9,25,17,45
IndiGo,Banglore,Delhi,0.0,4823,3,6,8,30,11,20,2,50
GoAir,Banglore,Delhi,0.0,4632,15,4,7,45,10,40,2,55
Multiple carriers,Delhi,Cochin,1.0,12327,27,3,13,0,1,35,12,35
SpiceJet,Banglore,Delhi,0.0,3625,6,6,5,55,8,35,2,40
IndiGo,Delhi,Cochin,1.0,6037,15,5,2,0,7,45,5,45
SpiceJet,Mumbai,Hyderabad,0.0,2017,18,5,22,45,0,15,1,30
Air India,Kolkata,Banglore,2.0,12009,6,6,10,0,5,25,19,25
IndiGo,Kolkata,Banglore,1.0,11160,6,6,9,20,14,15,4,55
Multiple carriers,Delhi,Cochin,1.0,7005,12,6,12,50,21,0,8,10
Air India,Delhi,Cochin,2.0,11552,6,3,21,30,19,15,21,45
SpiceJet,Mumbai,Hyderabad,0.0,2175,1,6,13,15,14,45,1,30
Air India,Delhi,Cochin,1.0,7480,27,6,12,30,9,25,20,55
SpiceJet,Kolkata,Banglore,0.0,4622,3,3,6,55,9,35,2,40
IndiGo,Banglore,Delhi,0.0,4823,15,4,7,10,10,5,2,55
IndiGo,Mumbai,Hyderabad,0.0,4049,3,5,6,25,7,55,1,30
IndiGo,Mumbai,Hyderabad,0.0,2227,24,6,21,20,22,50,1,30
IndiGo,Kolkata,Banglore,0.0,4804,24,6,4,40,7,15,2,35
IndiGo,Banglore,Delhi,0.0,3943,1,5,4,0,6,50,2,50
Jet Airways,Banglore,New Delhi,1.0,26890,1,3,14,5,0,45,10,40
IndiGo,Kolkata,Banglore,0.0,4804,12,5,17,15,19,50,2,35
IndiGo,Delhi,Cochin,1.0,5065,24,4,20,25,1,30,5,5
Jet Airways,Kolkata,Banglore,1.0,13044,12,6,14,5,9,20,19,15
IndiGo,Delhi,Cochin,1.0,6314,1,6,4,55,21,0,16,5
Air India,Delhi,Cochin,1.0,10454,15,6,9,0,19,15,10,15
Jet Airways,Banglore,Delhi,0.0,7229,6,5,6,0,8,45,2,45
Jet Airways,Delhi,Cochin,2.0,16704,9,5,23,5,4,25,29,20
IndiGo,Banglore,Delhi,0.0,3943,1,4,6,5,8,50,2,45
Air India,Kolkata,Banglore,2.0,12224,12,6,10,0,13,45,27,45
Multiple carriers,Delhi,Cochin,1.0,11200,1,6,11,25,19,0,7,35
IndiGo,Mumbai,Hyderabad,0.0,2754,24,3,2,30,4,0,1,30
Jet Airways,Delhi,Cochin,2.0,13014,6,6,5,30,19,0,13,30
IndiGo,Delhi,Cochin,1.0,6270,9,4,15,0,1,30,10,30
Air India,Delhi,Cochin,1.0,7690,9,6,6,5,9,25,27,20
Jet Airways,Delhi,Cochin,1.0,10262,15,6,14,0,12,35,22,35
Jet Airways,Delhi,Cochin,1.0,19828,3,3,9,55,4,25,18,30
Multiple carriers,Delhi,Cochin,2.0,18275,27,5,17,50,1,30,7,40
GoAir,Banglore,New Delhi,0.0,6722,3,3,20,55,23,50,2,55
Jet Airways,Banglore,Delhi,0.0,7229,12,4,7,10,10,10,3,0
IndiGo,Delhi,Cochin,1.0,6573,9,4,9,15,1,30,16,15
Jet Airways,Delhi,Cochin,1.0,12898,27,5,14,0,19,0,5,0
Jet Airways,Kolkata,Banglore,1.0,13339,24,3,6,30,22,35,16,5
Jet Airways,Delhi,Cochin,1.0,12373,18,5,7,5,19,0,11,55
Jet Airways,Delhi,Cochin,1.0,10262,15,6,10,0,4,25,18,25
Multiple carriers,Delhi,Cochin,1.0,23533,1,3,19,0,1,35,6,35
Vistara,Kolkata,Banglore,1.0,8452,1,4,20,20,20,20,24,0
Vistara,Banglore,Delhi,0.0,4668,3,5,11,30,14,20,2,50
SpiceJet,Kolkata,Banglore,0.0,3841,15,5,6,55,9,30,2,35
Air Asia,Kolkata,Banglore,1.0,5162,9,4,6,50,10,30,3,40
IndiGo,Delhi,Cochin,1.0,9585,3,3,4,55,12,0,7,5
Jet Airways,Delhi,Cochin,1.0,10262,12,6,21,50,12,35,14,45
IndiGo,Mumbai,Hyderabad,0.0,4049,3,6,9,10,10,40,1,30
Multiple carriers,Delhi,Cochin,1.0,6305,27,3,4,0,15,30,11,30
IndiGo,Kolkata,Banglore,0.0,4804,3,6,20,25,23,10,2,45
SpiceJet,Mumbai,Hyderabad,0.0,2175,12,5,13,15,14,45,1,30
Air India,Banglore,New Delhi,1.0,4943,21,3,8,15,18,30,10,15
IndiGo,Kolkata,Banglore,0.0,5644,9,6,14,25,16,55,2,30
Jet Airways,Delhi,Cochin,2.0,13882,9,6,14,5,12,35,22,30
Air Asia,Banglore,Delhi,0.0,4282,27,4,4,55,7,45,2,50
IndiGo,Delhi,Cochin,1.0,6442,3,6,11,55,22,30,10,35
SpiceJet,Chennai,Kolkata,0.0,3543,3,6,17,45,20,5,2,20
SpiceJet,Banglore,Delhi,0.0,3919,24,4,5,55,8,35,2,40
Jet Airways,Banglore,New Delhi,1.0,9134,15,3,5,45,16,10,10,25
IndiGo,Kolkata,Banglore,0.0,4148,9,3,5,30,8,20,2,50
SpiceJet,Banglore,New Delhi,0.0,6205,15,3,9,35,12,30,2,55
Jet Airways,Delhi,Cochin,2.0,18804,9,6,11,40,19,0,7,20
Jet Airways,Mumbai,Hyderabad,0.0,4995,24,6,8,45,10,15,1,30
SpiceJet,Mumbai,Hyderabad,0.0,2647,6,6,5,45,7,15,1,30
Jet Airways,Delhi,Cochin,2.0,12819,27,6,13,25,12,35,23,10
Air India,Delhi,Cochin,2.0,8971,27,3,5,55,7,40,25,45
Multiple carriers,Delhi,Cochin,1.0,7575,9,5,11,25,19,15,7,50
SpiceJet,Mumbai,Hyderabad,0.0,1965,27,5,22,45,0,15,1,30
Jet Airways,Kolkata,Banglore,1.0,13941,15,5,14,5,23,35,9,30
Jet Airways,Kolkata,Banglore,1.0,7064,1,4,8,25,9,20,24,55
Jet Airways,Banglore,New Delhi,1.0,19225,6,3,5,45,11,25,5,40
IndiGo,Delhi,Cochin,1.0,6069,18,5,20,25,1,30,5,5
Jet Airways,Kolkata,Banglore,1.0,9663,12,5,21,10,12,0,14,50
Jet Airways,Kolkata,Banglore,1.0,8529,12,6,16,30,18,15,25,45
Multiple carriers,Delhi,Cochin,1.0,13587,6,6,7,5,21,0,13,55
IndiGo,Banglore,Delhi,0.0,4990,21,6,18,15,21,20,3,5
Jet Airways,Kolkata,Banglore,1.0,14151,21,5,17,0,21,5,28,5
IndiGo,Banglore,Delhi,0.0,4823,24,6,18,15,21,20,3,5
Air India,Banglore,Delhi,0.0,6961,24,6,13,20,16,10,2,50
Jet Airways,Delhi,Cochin,2.0,10368,15,6,5,30,19,0,13,30
Jet Airways,Kolkata,Banglore,1.0,10844,12,5,20,0,18,15,22,15
Multiple carriers,Delhi,Cochin,1.0,9646,15,6,9,45,22,30,12,45
Jet Airways,Banglore,New Delhi,1.0,19225,6,3,7,0,13,15,6,15
Air India,Delhi,Cochin,1.0,7174,21,4,20,30,23,0,26,30
SpiceJet,Kolkata,Banglore,0.0,3873,21,5,17,10,19,40,2,30
Vistara,Banglore,Delhi,0.0,4668,27,5,7,0,9,40,2,40
IndiGo,Delhi,Cochin,1.0,14871,3,3,15,0,1,35,10,35
Jet Airways,Delhi,Cochin,2.0,11664,21,3,10,20,4,25,42,5
Air India,Delhi,Cochin,1.0,6587,27,6,5,15,6,50,25,35
Jet Airways,Kolkata,Banglore,1.0,14781,9,5,16,30,23,35,7,5
Jet Airways,Banglore,New Delhi,1.0,36235,1,3,14,5,19,10,5,5
Multiple carriers,Delhi,Cochin,1.0,13377,27,5,15,0,1,30,10,30
IndiGo,Kolkata,Banglore,0.0,6985,24,3,15,20,17,55,2,35
Jet Airways,Kolkata,Banglore,1.0,10844,21,5,6,30,18,15,11,45
GoAir,Kolkata,Banglore,1.0,7831,15,5,16,40,0,15,7,35
Jet Airways,Banglore,Delhi,0.0,7229,21,5,17,45,20,45,3,0
Jet Airways,Kolkata,Banglore,1.0,10844,12,5,6,30,18,15,11,45
GoAir,Banglore,Delhi,0.0,4239,3,4,20,55,23,40,2,45
Air India,Delhi,Cochin,0.0,6094,15,5,18,5,21,10,3,5
Air India,Banglore,New Delhi,1.0,6850,15,3,22,0,23,20,25,20
Air India,Banglore,Delhi,0.0,5228,9,5,10,0,12,45,2,45
Jet Airways,Delhi,Cochin,1.0,14714,3,6,20,55,19,0,22,5
Jet Airways,Kolkata,Banglore,1.0,10844,21,5,21,10,18,15,21,5
Jet Airways,Delhi,Cochin,1.0,12242,27,3,11,30,18,50,7,20
IndiGo,Chennai,Kolkata,0.0,3540,12,5,5,15,7,40,2,25
Jet Airways,Kolkata,Banglore,1.0,10844,15,5,18,55,19,50,24,55
Air India,Kolkata,Banglore,1.0,8366,9,5,16,50,7,55,15,5
IndiGo,Delhi,Cochin,1.0,6734,9,5,6,50,22,30,15,40
Air India,Kolkata,Banglore,2.0,10907,18,5,8,20,18,30,10,10
Air India,Delhi,Cochin,2.0,9548,24,6,12,0,19,15,7,15
Jet Airways,Delhi,Cochin,2.0,14300,15,6,12,15,4,25,16,10
Jet Airways,Delhi,Cochin,2.0,13014,12,6,9,40,4,25,18,45
Jet Airways,Kolkata,Banglore,1.0,8586,9,5,6,30,16,20,9,50
Jet Airways,Banglore,New Delhi,1.0,11087,9,3,5,45,10,25,4,40
Jet Airways,Kolkata,Banglore,1.0,13759,24,3,21,10,4,45,7,35
Multiple carriers,Delhi,Cochin,1.0,7198,27,5,13,0,1,30,12,30
Multiple carriers,Delhi,Cochin,1.0,7564,18,5,4,55,19,15,14,20
Jet Airways,Delhi,Cochin,1.0,6540,21,3,13,0,18,50,5,50
Air India,Mumbai,Hyderabad,0.0,3625,6,6,13,55,15,25,1,30
Jet Airways,Delhi,Cochin,2.0,13882,27,6,9,25,4,25,19,0
Air India,Delhi,Cochin,2.0,17266,3,3,20,0,19,15,23,15
Jet Airways,Delhi,Cochin,2.0,10976,27,3,19,10,19,45,24,35
SpiceJet,Kolkata,Banglore,0.0,4491,18,5,9,0,11,25,2,25
Air Asia,Banglore,Delhi,0.0,4282,15,6,4,55,7,45,2,50
Jet Airways,Kolkata,Banglore,1.0,10844,15,5,21,10,20,45,23,35
Vistara,Banglore,New Delhi,0.0,5403,24,3,11,30,14,10,2,40
Jet Airways,Delhi,Cochin,2.0,13882,12,6,9,25,4,25,19,0
Jet Airways,Delhi,Cochin,1.0,14714,1,6,2,15,12,35,10,20
Air India,Delhi,Cochin,1.0,7532,21,3,6,5,9,25,27,20
Multiple carriers,Delhi,Cochin,3.0,21829,3,3,11,35,21,0,9,25
Multiple carriers,Delhi,Cochin,1.0,14848,27,6,10,0,19,15,9,15
Jet Airways,Kolkata,Banglore,1.0,14781,6,5,6,30,18,15,11,45
Jet Airways,Mumbai,Hyderabad,0.0,5678,9,6,7,5,8,30,1,25
Jet Airways,Kolkata,Banglore,1.0,12384,24,5,20,25,9,45,13,20
Jet Airways,Delhi,Cochin,2.0,15339,27,6,13,25,12,35,23,10
Multiple carriers,Delhi,Cochin,1.0,8055,27,3,7,30,21,0,13,30
Multiple carriers,Delhi,Cochin,1.0,13378,21,3,8,0,19,15,11,15
Jet Airways,Banglore,New Delhi,1.0,31825,1,3,18,40,9,30,14,50
IndiGo,Banglore,Delhi,0.0,4823,27,6,16,55,19,55,3,0
IndiGo,Banglore,Delhi,0.0,3943,27,5,21,15,0,15,3,0
Vistara,Kolkata,Banglore,1.0,7927,12,6,20,20,9,5,12,45
Air India,Delhi,Cochin,2.0,9443,24,6,16,40,19,15,26,35
Jet Airways,Delhi,Cochin,1.0,10262,1,6,22,50,4,25,5,35
Jet Airways,Delhi,Cochin,2.0,19644,27,5,11,40,19,0,7,20
Jet Airways,Delhi,Cochin,1.0,12719,21,3,2,15,18,50,16,35
Jet Airways,Kolkata,Banglore,1.0,10031,24,3,8,25,16,20,7,55
Jet Airways,Delhi,Cochin,1.0,10262,15,6,20,55,12,35,15,40
Air India,Delhi,Cochin,2.0,9653,15,6,19,45,19,15,23,30
Jet Airways,Kolkata,Banglore,1.0,14151,12,5,9,35,23,35,14,0
SpiceJet,Chennai,Kolkata,0.0,3859,18,3,8,20,10,35,2,15
Multiple carriers,Delhi,Cochin,1.0,13727,15,5,9,0,21,0,12,0
IndiGo,Kolkata,Banglore,0.0,4174,12,4,15,30,18,5,2,35
Air India,Delhi,Cochin,2.0,10861,9,5,5,55,19,15,13,20
SpiceJet,Mumbai,Hyderabad,0.0,2753,24,3,13,10,14,30,1,20
Air India,Kolkata,Banglore,2.0,15532,15,5,9,25,13,45,28,20
Vistara,Kolkata,Banglore,1.0,9135,9,6,17,0,18,50,25,50
Jet Airways,Delhi,Cochin,1.0,14714,15,6,8,0,19,0,11,0
IndiGo,Delhi,Cochin,2.0,6494,27,3,8,35,21,20,12,45
